college,collegeLabel,city,coordinate_location,country,countryLabel,field1,Sno,countryLabel,coordinate_location,country1,country_id
http://www.wikidata.org/entity/Q11428965,Port of Shiogama,,Point(141.033333333 38.316666666),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11429044,Sakaiminato Port,,Point(133.22245 35.54575),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11430813,Port of Taira,,Point(130.31041667 32.87597222),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11432771,Port of Ōita,,Point(131.58797 33.24679),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11437229,Port of Oarai,,Point(140.57151 36.30612),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11445671,Okushiri Port,,Point(139.52 42.177777777),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11447557,Port of Himeji,,Point(134.6629 34.78486),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11449894,Port of Uno,,Point(133.95 34.483333333),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11453090,Port of Muroran,,Point(140.963889 42.349444),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11455058,Port of Miyaura,,Point(132.991666666 34.25),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11455059,Miyanoura port,,Point(133.974083333 34.456972222),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11459331,Port of Onahama,,Point(140.895833 36.936111),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11465012,Port of Amagasaki-Nishinomiya-Ashiya,,Point(135.39025 34.692855),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11474391,Port of Iwaya,,Point(135.020639 34.590417),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11476246,Port of Shimabara,,Point(130.37361111 32.76677778),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
http://www.wikidata.org/entity/Q11478529,Port of Kawasaki,,Point(139.762778 35.492778),http://www.wikidata.org/entity/Q17,Japan,78,79,Japan,Point(136.0 35.0),日本,jp
